Summary,Issue Type,Description,Priority,Labels,Components,Reporter,Assignee
"Phase 0: Extract other pipelines' rule sets",Task,"Inventory existing gateways; export rules and map to v2 match+runParams. Acceptance: mapping spreadsheet produced. Est: 10-15d (M).","Medium","unified-gateway,phase0","backend","you@example.com",
"Capture peak-burst throughput & memory profile",Task,"Run replay sample to measure peak messages/sec and memory per-rule snapshot. Acceptance: load report. Est: 3-5d (M).","Medium","unified-gateway,capacity",backend,you@example.com,
"Build replay harness & sample collector",Task,"Ingest historical traffic, deterministic runner for offline validation. Acceptance: deterministic match outputs CLI. Est: 5d (M).","Medium","unified-gateway,replay",backend,you@example.com,
"Extract libs/rule-engine and v2 match model",Task,"Move matcher code into libs/rule-engine, add v2 DTOs and validators. Acceptance: Gateway and Rules API compile & run. Est: 8-12d (H).","High","unified-gateway,rule-engine",backend,you@example.com,
"Implement per-pipeline snapshots & STRtree",Task,"Snapshot per enabled pipeline, build NTS STRtree, refresh job (~60s). Acceptance: snapshot metric + STRtree query parity. Est: 6-9d (H).","High","unified-gateway,snapshot",backend,you@example.com,
"Rule validation wiring (API + Gateway load-time)",Task,"Use RunParamsType validators in Rules API and Gateway; rejected rules logged. Acceptance: API rejects invalid writes; Gateway rejects at load. Est: 4d (H).","High","unified-gateway,validation",backend,you@example.com,
"Dedupe implementation & matchedRuleIds tracking",Task,"Collapse dispatch units by (pipelineId, normalized runParams) and attach contributors. Acceptance: integration shows collapse behavior. Est: 4d (H).","Medium","unified-gateway,dedupe",backend,you@example.com,
"IPipelineContract + tile-builder contract",Task,"Add IPipelineContract and implement tile-builder contract + golden-file tests. Acceptance: golden-file passes; form descriptor generated. Est: 6d (H).","High","unified-gateway,contracts",backend,you@example.com,
"High-scale contract skeleton & golden-file (placeholder)",Task,"Create IPipelineContract stub for high-scale; placeholder tests. Acceptance: compiles and integrated. Est: 3d (M).","Medium","unified-gateway,contracts",backend,you@example.com,
"Extend libs/rabbitmq-client for named destinations",Task,"Support multiple OutputDestinations and DestinationName on envelopes. Acceptance: backward compatible publishers. Est: 4d (H).","Medium","unified-gateway,rabbitmq",backend,you@example.com,
"Implement http-forwarder app (queue -> HTTP)",Task,"Queue consumer that POSTs messages to configured URL with retry/DLQ. Acceptance: stub endpoint integration tests. Est: 6-8d (H).","Medium","unified-gateway,forwarder",backend,you@example.com,
"IDispatchTransport abstraction + RabbitMQ + HTTP transports",Task,"Add IDispatchTransport implementations and register by transport.kind. Acceptance: Gateway dispatches via configured kinds. Est: 3d (H).","High","unified-gateway,transport",backend,you@example.com,
"Pipeline-scoped endpoints in Rules API",Task,"Route resolution by catalog to ES index; CRUD for pipeline rules. Acceptance: CRUD operate on pipeline index. Est: 6d (M).","Medium","unified-gateway,rules-api",backend,you@example.com,
"POST /pipelines/{id}/rules/validate (sweep)",Task,"Validate stored rules against current contract; return failures report. Acceptance: CI sweep report. Est: 4d (M).","Medium","unified-gateway,rules-api",backend,you@example.com,
"POST /pipelines/{id}/rules/simulate",Task,"Run a proposal against traffic sample and enabled snapshots; return matches + overlaps. Acceptance: simulation returns matches and overlaps. Est: 5-7d (M).","Medium","unified-gateway,simulate",backend,you@example.com,
"Audit index write on every mutation",Task,"Append-only index writes with changedBy/reason/diff. Acceptance: every mutation produces audit doc. Est: 3d (H).","High","unified-gateway,audit",backend,you@example.com,
"Catalog GET for UI with form descriptor generation",Task,"Serve GET /pipelines with RunParamsType-derived descriptor. Acceptance: UI can render form from descriptor. Est: 3d (H).","Medium","unified-gateway,catalog",backend,you@example.com,
"Decide fate of PATCH /rules/sensors/add|remove",Task,"Evaluate usage; port or deprecate. Acceptance: decision documented. Est: 1-2d (L).","Low","unified-gateway,rules-api",backend,you@example.com,
"Rules API authentication / actor capture (blocking)",Task,"Integrate SSO or internal identity; populate changedBy. Acceptance: audit includes actor. Est: 3-20d (L).","High","unified-gateway,security",backend,you@example.com,
"Reindex transform for v1->v2 and dual-write support",Task,"Transform script, dual-write option in Rules API, alias cutover. Acceptance: rollback safe with byte-identical outputs. Est: 6-10d (M).","High","unified-gateway,migration",backend,you@example.com,
"Author other pipelines' rules into new indexes",Task,"Express existing rules as match+runParams in their indexes and verify by replay. Acceptance: critical rules in v2 indexes. Est: 8-20d (M).","Medium","unified-gateway,migration",backend,you@example.com,
"Read-only UI + enable/disable toggle (v1)",Task,"Pipeline list, rule list, enable toggle, simulate button (links). Acceptance: product can view and toggle. Est: 8-12d (M).","Low","unified-gateway,ui",backend,you@example.com,
"Dynamic form generator from contract descriptor (client)",Task,"Client-side form renderer for RunParamsType descriptor. Acceptance: can author rule with typed validation. Est: 10-15d (M).","Low","unified-gateway,ui",backend,you@example.com,
"Map polygon editor & geometry tools",Task,"Polygon WKT editor, draw/modify, self-hosted tiles. Acceptance: saves valid locationWkt and preview. Est: 10-20d (L).","Low","unified-gateway,ui",backend,you@example.com,
"Approval workflow + requiresApproval UI",Task,"Mark rules pending approval and approval flow. Acceptance: gated rules require approval. Est: 6-10d (M).","Medium","unified-gateway,ui",backend,you@example.com,
"Shadow run & mismatch investigation",Task,"Run Gateway in shadow mode for new pipelines, collect diffs vs old gateways. Acceptance: diff report with explained differences. Est: 6-10d (M).","Medium","unified-gateway,cutover",backend,you@example.com,
"Decommission old gateways + alias cutover",Task,"Cutover plan, runbook, rollback steps. Acceptance: old gateways retired safely. Est: 4-6d (M).","Medium","unified-gateway,cutover",backend,you@example.com
